,Slack,SD,File,Machines,Accepted Load,Rejected Load,Available Resource
445,0.1,0.043,S6,170,6879108,2654976,9534084
446,0.1,0.043,S7,170,6802709,2731375,9534084
447,0.1,0.043,S8,170,5297314,4236770,9534084
448,0.1,0.043,S9,170,5142259,4391825,9534084
449,0.1,0.043,S10,170,6980305,2553779,9534084
450,0.1,0.045,S1,10,1082267,8451817,1485760
451,0.1,0.045,S2,10,822228,8711856,1466580
452,0.1,0.045,S3,10,933397,8600687,1461660
453,0.1,0.045,S4,10,812720,8721364,1452530
454,0.1,0.045,S5,10,964711,8569373,1462990
455,0.1,0.045,S6,10,780286,8753798,1455420
456,0.1,0.045,S7,10,901826,8632258,1461880
457,0.1,0.045,S8,10,915560,8618524,1356040
458,0.1,0.045,S9,10,890168,8643916,1363260
459,0.1,0.045,S10,10,827781,8706303,1539010
460,0.1,0.045,S1,50,3282022,6252062,7443450
461,0.1,0.045,S2,50,2949150,6584934,5535300
462,0.1,0.045,S3,50,3522095,6011989,7354050
463,0.1,0.045,S4,50,3003416,6530668,7297100
464,0.1,0.045,S5,50,2746769,6787315,5508100
465,0.1,0.045,S6,50,2845737,6688347,5655500
466,0.1,0.045,S7,50,2629738,6904346,5411800
467,0.1,0.045,S8,50,3710171,5823913,7438050
468,0.1,0.045,S9,50,3804113,5729971,7314200
469,0.1,0.045,S10,50,3201013,6333071,7627950
470,0.1,0.045,S1,90,3951751,5582333,9534084
471,0.1,0.045,S2,90,5736777,3797307,9534084
472,0.1,0.045,S3,90,4520699,5013385,9534084
473,0.1,0.045,S4,90,5653458,3880626,9534084
474,0.1,0.045,S5,90,3853003,5681081,9534084
475,0.1,0.045,S6,90,5821935,3712149,9534084
476,0.1,0.045,S7,90,4363864,5170220,9534084
477,0.1,0.045,S8,90,4466763,5067321,9534084
478,0.1,0.045,S9,90,5090372,4443712,9534084
479,0.1,0.045,S10,90,3826151,5707933,9534084
480,0.1,0.045,S1,130,6522498,3011586,9534084
481,0.1,0.045,S2,130,6552908,2981176,9534084
482,0.1,0.045,S3,130,6614140,2919944,9534084
483,0.1,0.045,S4,130,6543672,2990412,9534084
484,0.1,0.045,S5,130,6823453,2710631,9534084
485,0.1,0.045,S6,130,4407222,5126862,9534084
486,0.1,0.045,S7,130,6536963,2997121,9534084
487,0.1,0.045,S8,130,6492909,3041175,9534084
488,0.1,0.045,S9,130,6750989,2783095,9534084
489,0.1,0.045,S10,130,4308944,5225140,9534084
490,0.1,0.045,S1,170,7147196,2386888,9534084
491,0.1,0.045,S2,170,6974344,2559740,9534084
492,0.1,0.045,S3,170,6815147,2718937,9534084
493,0.1,0.045,S4,170,6990786,2543298,9534084
494,0.1,0.045,S5,170,7024483,2509601,9534084
495,0.1,0.045,S6,170,6875014,2659070,9534084
496,0.1,0.045,S7,170,6853104,2680980,9534084
497,0.1,0.045,S8,170,6799074,2735010,9534084
498,0.1,0.045,S9,170,7341787,2192297,9534084
499,0.1,0.045,S10,170,6819593,2714491,9534084
500,0.1,0.048,S1,10,1035773,8498311,1342730
501,0.1,0.048,S2,10,994982,8539102,1168410
502,0.1,0.048,S3,10,924102,8609982,1463250
503,0.1,0.048,S4,10,896387,8637697,1506670
504,0.1,0.048,S5,10,1076167,8457917,1437770
505,0.1,0.048,S6,10,756528,8777556,1128670
506,0.1,0.048,S7,10,865772,8668312,1477540
507,0.1,0.048,S8,10,949900,8584184,1175830
508,0.1,0.048,S9,10,910421,8623663,1504190
509,0.1,0.048,S10,10,1062467,8471617,1538890
510,0.1,0.048,S1,50,2824888,6709196,5429600
511,0.1,0.048,S2,50,2345434,7188650,5853500
512,0.1,0.048,S3,50,3015498,6518586,5600200
513,0.1,0.048,S4,50,2990831,6543253,7539250
